customer_id,age,gender,annual_income,total_spend,num_orders,avg_order_value,days_since_last_order,website_visits,pages_per_visit,session_duration_min,discount_pct_used,customer_satisfaction,is_returning_customer,region,revenue_per_visit,spend_per_order,engagement_score,spending_tier,recency_score
26,19.0,Male,37221.49,404.37,5,96.54,295.0,25,4.59,12.642983430754947,22.9,3,0,East,16.17,80.87,0.4798,High,0.1756
27,38.0,Female,36019.56,804.29,10,133.89,101.0,19,3.43,6.62,12.94,4,0,North,42.33,80.43,0.3301,Premium,0.2158
28,50.0,Female,56544.2,471.45,8,95.638095536212,202.08348328945175,33,6.38,12.47,28.62,3,1,Central,14.29,58.93,0.5944,High,0.188
29,29.0,Female,52210.1,127.29,9,118.61,335.0,25,8.77,4.05,14.89,3,1,East,5.09,14.14,0.4866,Low,0.1718
30,39.0,Male,43140.73098851927,474.73,9,38.22,311.0,23,6.45,9.04,10.6,4,1,South,20.64,52.75,0.4671,High,0.174
31,61.0,Female,65970.31767095698,494.81,4,29.6,283.0,22,5.64,6.12,11.8,5,0,Central,22.49,123.7,0.4058,High,0.1769
32,42.0,Female,34693.02,662.33,10,106.77,55.0,26,5.11,13.73,7.28,5,1,North,25.47,66.23,0.5137,High,0.2473
33,66.0,Female,75402.24,342.50668002673007,7,68.68,0.0,23,4.08,9.12,20.11,5,0,South,14.89,48.93,0.4101,Medium,1.4427
34,44.0,Female,28569.55,1492.21,8,93.94,143.78176787780922,29,3.9217873514252495,3.71,15.0,3,1,West,51.46,186.53,0.4007,Premium,0.2007
35,59.0,Male,116365.93947407472,109.88,4,99.47,307.0,29,6.21,13.2,21.48,4,0,South,3.79,27.47,0.562,Low,0.1744
36,45.0,Female,33085.42,206.82216170682017,12,122.54,209.0,26,7.64,18.31,11.64,5,1,West,7.95,17.24,0.6264,Medium,0.1869
37,41.94551929150787,Male,69238.7,386.46,4,52.26,61.0,20,7.72,7.23,35.89,4,1,North,19.32,96.62,0.4508,High,0.2414
38,32.0,Female,28463.56,557.3,5,173.76,230.0,21,5.81,18.76,15.06,4,1,East,26.54,111.46,0.5412,High,0.1836
39,64.0,Male,45431.21,52.38,7,101.08,107.0,21,4.897707047933764,9.64,17.36,2,1,South,2.49,7.48,0.4176,Low,0.2132
40,68.0,Male,106177.4,239.48,12,85.27418691914258,169.0,27,5.59,13.19,7.82,4,0,North,8.87,19.96,0.5285,Medium,0.1945
41,61.0,Male,32570.03,733.49,11,84.49,103.22320548181577,23,6.53,5.02,4.6,5,1,South,31.89,66.68,0.4245,Premium,0.2148
42,69.0,Female,116365.93947407472,613.64,11,79.37,117.0,25,5.59,21.08,9.03,3,0,East,24.55,55.79,0.5979,High,0.2092
43,20.0,Male,48891.66,20.48,7,147.36,358.0,23,5.62,10.33,6.61,3,0,Central,0.89,2.93,0.4611,Low,0.1699
44,54.0,Female,79846.1,395.48,9,206.75375,292.0,35,3.95,11.3,8.84,4,1,South,11.3,43.94,0.5402,High,0.1759
45,68.0,Male,59962.36,46.21,4,140.72,138.0,21,3.91,15.094946113289277,18.3,3,1,East,2.2,11.55,0.454,Low,0.2024
46,24.0,Male,61606.34,1492.21,9,111.15,194.0,22,4.26,4.52,18.2,5,1,East,67.83,165.8,0.3543,Premium,0.1895
47,38.0,Female,24027.23,1137.95,9,97.66,28.0,20,5.93,6.45,8.7,3,1,Central,56.9,126.44,0.3984,Premium,0.294
48,26.0,Male,38699.18,10.65,12,206.75375,259.0,36,4.95,15.498916067496047,17.31,5,0,South,0.3,0.89,0.6203,Low,0.1797
49,56.0,Male,65792.42638688069,978.26,13,156.1,138.0,23,4.972735108361181,8.64,2.16,3,1,South,42.53,75.25,0.4266,Premium,0.2024
50,35.0,Female,41267.87,1259.31,10,177.23,29.0,24,4.0091445169081155,13.54,5.38,4,1,East,52.47,125.93,0.4665,Premium,0.2912
51,21.0,Male,52544.52,399.98292195200054,2,120.34,78.0,25,8.33,11.36,11.33,5,1,South,16.0,199.99,0.557,High,0.2282
52,42.0,Male,22613.2,635.59,5,206.75375,78.0,15,8.17,16.03,5.6,3,1,Central,42.37,127.12,0.514,High,0.2282
53,31.0,Male,37466.84,291.79,10,84.88,171.79383368271027,22,6.26,20.97,23.31,4,0,South,13.26,29.18,0.5858,Medium,0.1939
54,67.0,Female,85949.88,532.44,8,110.22,159.0,30,5.43,3.52,16.66,4,0,South,17.75,66.56,0.4446,High,0.1968
55,26.0,Female,25814.34,208.0,4,142.44,156.0,25,3.88,16.19,7.99,4,1,West,8.32,52.0,0.5018,Medium,0.1975
56,43.0,Female,70160.41,194.72,11,73.64,112.0,31,4.42,10.83,15.77,4,1,East,6.28,17.7,0.5101,Medium,0.2111
57,70.0,Female,53577.75,276.2,7,130.34,298.0,23,7.01,2.89,24.09,4,0,East,12.01,39.46,0.4126,Medium,0.1753
58,19.0,Male,43565.56,78.66,3,60.01,84.0,25,4.824481093188424,26.56,16.6,5,0,West,3.15,26.22,0.64,Low,0.2245
59,37.0,Male,42618.25,889.34,7,73.36,229.0,22,4.34,20.27,11.08,3,1,South,40.42,127.05,0.5311,Premium,0.1837
60,45.0,Female,38349.05,214.39,9,83.96,38.0,23,5.13,7.53,19.21,5,1,South,9.32,23.82,0.4181,Medium,0.2711
61,64.0,Male,40095.3,255.54,10,163.29,351.0,17,6.09,9.45,11.16,5,1,Central,15.03,25.55,0.4083,Medium,0.1705
62,24.0,Male,78031.67,1122.42,8,40.7,154.0,25,5.54,4.01,4.78,4,1,North,44.9,140.3,0.4072,Premium,0.198
63,61.0,Male,39496.92,343.21,12,101.99,279.0,26,5.07,3.9,14.94,4,1,North,13.2,28.6,0.4036,Medium,0.1774
64,25.0,Male,116365.93947407472,392.91,10,135.55,292.0,29,5.4,8.96,8.32,4,1,East,13.55,39.29,0.4951,High,0.1759
65,64.0,Other,56940.73,1492.21,10,88.72,320.0,26,1.15,27.029976776044148,10.52,3,0,West,57.39,149.22,0.5645,Premium,0.1732
66,52.0,Male,36749.1,1088.97,9,206.75375,287.0,18,5.53,12.15,3.4,4,1,Central,60.5,121.0,0.4337,Premium,0.1765
67,31.0,Female,79752.47,463.60037085121206,9,149.43,122.74887028706175,21,4.090397526068677,5.13,6.2,3,0,South,22.08,51.51,0.3479,High,0.2072
68,41.157420400509345,Male,66966.51,320.48,8,102.68,128.0,36,6.15,18.1,11.93,4,1,West,8.9,40.06,0.6785,Medium,0.2054
69,53.0,Other,53859.44911635994,1492.21,5,188.56,108.0,26,5.74,18.17,4.2,5,0,Central,57.39,298.44,0.5784,Premium,0.2127
70,67.0,Male,59670.4594975052,232.9,9,116.68,183.0,20,6.85,19.48,17.67,4,0,South,11.64,25.88,0.5655,Medium,0.1916
71,57.0,Male,46271.89,232.27,5,81.12,209.0,23,6.86,2.7,15.77,5,1,South,10.1,46.45,0.4068,Medium,0.1869
72,21.0,Female,22207.74,108.48,6,62.59282330687462,156.0,19,8.6,8.22,26.35,3,0,North,5.71,18.08,0.4742,Low,0.1975
73,53.96684830476176,Female,116365.93947407472,60.7,8,98.57,5.0,25,1.93,5.42,8.6,4,1,South,2.43,7.59,0.3346,Low,0.5139
74,23.0,Male,73947.9,674.12,6,113.05,184.0,28,5.27,19.26,4.61,5,0,East,24.08,112.35,0.5972,High,0.1914
75,71.0,Male,48695.09,734.9,14,147.92,94.0,24,1.83,12.99,0.32,3,1,Central,30.62,52.49,0.4071,Premium,0.2191
76,59.0,Male,41301.2,1492.21,10,157.42,13.0,21,6.38,11.160815803370467,7.26,4,1,East,71.06,149.22,0.4708,Premium,0.3693
77,32.69712043194338,Male,58128.12485989822,742.32,9,79.82882612698124,68.0,17,5.2,10.13,12.3,5,1,West,43.67,82.48,0.3941,Premium,0.2354
78,71.0,Male,18361.0,139.43,10,93.81,189.0,20,4.65,27.029976776044148,31.25,5,1,West,6.97,13.94,0.5955,Low,0.1904
79,46.0,Female,20610.65,20.47,7,62.23,85.0,24,5.98,9.87,18.92,5,1,South,0.85,2.92,0.4739,Low,0.2239
80,35.0,Male,116365.93947407472,1492.21,12,184.14,50.0,26,3.6,13.28,7.2,4,1,Central,57.39,124.35,0.4718,Premium,0.2531
81,43.0,Male,107667.15,208.1,9,84.73684431335786,12.0,17,8.83,9.03,24.52,3,0,South,12.24,23.12,0.4707,Medium,0.3789
82,61.0,Female,36758.0,186.96,5,174.37,253.0,19,5.06,1.92,18.63,5,1,East,9.84,37.39,0.3178,Medium,0.1805
83,51.0,Other,77188.02,1181.99,6,128.19,331.0,19,5.64,18.65,10.7,1,0,North,62.21,197.0,0.5176,Premium,0.1722
84,27.0,Female,63146.35,439.86,9,154.24,104.0,34,5.27,20.63,3.85,4,1,East,12.94,48.87,0.6669,High,0.2144
85,53.0,Male,66979.64,120.95,7,106.28,131.0,26,7.16,13.33,5.11,3,0,Central,4.65,17.28,0.5594,Low,0.2045
86,31.0,Male,24038.48,1099.55,11,94.78,37.0,22,3.34,15.75,29.67,5,1,East,49.98,99.96,0.4565,Premium,0.273
87,48.0,Female,47076.01804271898,1492.21,4,93.55,131.0,27,6.99,9.86,3.4,4,0,South,55.27,373.05,0.5258,Premium,0.2045
88,65.0,Male,88547.75,45.33,8,115.39,157.0,30,4.57,5.97,18.26,5,1,North,1.51,5.67,0.4507,Low,0.1973
89,32.0,Male,39502.84533285157,991.16,4,114.14,309.0,26,4.58,15.8,6.72,4,0,Central,38.12,247.79,0.5237,Premium,0.1742
90,25.0,Female,45519.83,744.8689415206658,9,58.43093799575691,64.0,27,7.08,12.3,12.47,4,0,East,27.59,82.76,0.5551,Premium,0.2387
91,31.0,Female,43352.99737385396,371.24,9,87.93,188.0,21,6.661957285923964,26.33,8.27,4,1,Central,17.68,41.25,0.646,Medium,0.1906
92,40.0,Female,38945.73,1231.47,7,49.9,278.0,24,6.6,8.33,36.9,5,0,North,51.31,175.92,0.472,Premium,0.1775
93,57.0,Male,57367.05,1492.21,9,102.51,226.0,26,6.64,7.81,21.1,1,0,South,57.39,165.8,0.4854,Premium,0.1842
94,38.0,Male,34933.58,152.02,7,74.39176252562191,208.0,26,4.87,7.99,11.06,4,1,West,5.85,21.72,0.4441,Low,0.187
95,33.0,Other,59746.61,119.67,12,73.34,315.0,29,5.92,15.04,17.96,5,0,North,4.13,9.97,0.5753,Low,0.1736
96,62.0,Male,52605.59,41.97,11,112.43,55.0,16,4.63,6.68,24.61,5,0,South,2.62,3.82,0.3328,Low,0.2473
97,35.0,Female,116365.93947407472,412.54,7,92.83,99.0,28,5.46,13.13,5.73,4,1,North,14.73,58.93,0.5338,High,0.2167
98,64.0,Female,24521.25,6.85,9,81.19,183.01943607685052,24,6.35,27.029976776044148,29.83,4,0,West,0.29,0.76,0.6734,Low,0.1916
99,70.0,Female,49743.47,265.43,11,64.09,289.0,21,3.78,10.69,24.37,4,0,West,12.64,24.13,0.402,Medium,0.1763
100,41.0,Male,60819.91,38.11,9,50.92,229.0,19,6.29,5.66,15.08,3,1,Central,2.01,4.23,0.3893,Low,0.1837
101,43.0,Male,56831.911739781935,548.92654199465,8,72.39,168.0,28,6.07,12.87,11.92,2,1,South,19.6,68.62,0.5458,High,0.1947
102,42.0,Female,25121.08,20.38,4,135.14,294.0,27,2.82,12.37,31.89,5,1,North,0.75,5.1,0.4517,Low,0.1757
103,62.0,Female,91908.74,300.87447249681065,10,70.79,213.0,18,4.16,21.01,18.07,3,1,West,16.72,30.09,0.4985,Medium,0.1862
104,58.0,Female,58015.6,117.7,10,152.88,297.0,24,4.26,4.65,8.13,4,1,South,4.9,11.77,0.3739,Low,0.1754
105,46.0,Male,26018.2,198.98,9,162.49,321.0,25,4.7,12.81,8.4,5,0,West,7.96,22.11,0.4844,Medium,0.1731
106,32.0,Male,61043.01,1020.3,11,31.96,147.0,24,3.78,7.04,24.8,5,1,Central,42.51,92.75,0.3887,Premium,0.1998
107,46.57567943862246,Female,114781.21,685.73,8,167.4,269.0,24,7.19,22.75,4.89,3,1,East,28.57,85.72,0.6465,High,0.1785
108,18.0,Female,48138.72,123.61,9,29.03,165.0,30,7.41,8.04,7.92,5,0,South,4.12,13.73,0.5431,Low,0.1954
109,42.0,Female,48966.6,37.31,10,144.45,292.0,24,4.08,4.77,7.06,4,0,West,1.55,3.73,0.3709,Low,0.1759
110,24.0,Male,107366.39,628.82,4,81.43,292.0,22,3.42,6.55,7.54,3,1,North,28.58,157.21,0.3563,High,0.1759
111,26.0,Female,30176.18,247.72,11,141.91,11.0,20,5.48,10.08,19.05,2,0,Central,12.39,22.52,0.4277,Medium,0.3899
112,41.0,Female,116282.29,726.39,12,112.53,145.0,25,7.89,5.17,27.56,2,0,Central,29.06,60.53,0.4776,Premium,0.2004
113,18.0,Female,79734.33,294.66,8,110.49,111.0,35,9.38,13.062014392617018,10.05,4,0,North,8.42,36.83,0.6925,Medium,0.2115
114,61.0,Male,30880.82,212.33,7,142.79,62.0,19,5.385202288206184,8.81,5.51,4,0,East,11.18,30.33,0.4022,Medium,0.2404
115,25.0,Male,35096.81,300.02,5,85.55791813500863,210.0,21,1.41,27.029976776044148,20.27,4,1,Central,14.29,60.0,0.5254,Medium,0.1867
116,41.0,Female,37706.72,878.0848228879944,10,90.5,342.0,23,2.82,11.90674875811585,14.31,3,1,Central,38.18,87.81,0.4102,Premium,0.1712
117,43.69958060112728,Male,19598.69,1162.52,8,100.18,29.0,25,4.472963842961879,27.029976776044148,5.67,5,0,South,46.5,145.32,0.6366,Premium,0.2912
118,68.0,Male,55839.45,193.5336050975557,6,120.21,341.0,19,6.25,17.12,15.95,4,0,North,10.19,32.26,0.5156,Medium,0.1713
119,34.0,Female,31587.81,371.29,4,80.10295093519399,314.0,42,5.68,14.78,10.41,2,1,Central,8.84,92.82,0.6847,Medium,0.1737
120,32.94441555242604,Male,56855.92,16.69,10,87.66,54.0,24,5.89,13.23,0.98,3,1,North,0.7,1.67,0.509,Low,0.2484
121,44.3722804000171,Female,64908.572867960924,315.94,6,127.13,197.0,22,7.53,7.02,8.61,4,1,East,14.36,52.66,0.462,Medium,0.1889
122,52.0,Male,55147.34886842121,1082.64,7,93.15,305.0,23,8.43,11.61,20.05,4,1,South,47.07,154.66,0.5441,Premium,0.1746
123,50.0,Female,70884.92,224.39,7,79.45,196.0,19,7.02,27.029976776044148,14.68,4,1,Central,11.81,32.06,0.6444,Medium,0.1891
124,53.27820027262681,Other,34442.98,1347.45,11,114.27,301.0,31,6.82,2.66,7.27,3,1,West,43.47,122.5,0.4781,Premium,0.175
125,59.0,Male,58678.26,497.95,11,199.36,34.0,27,2.85,27.029976776044148,12.27,1,0,East,18.44,45.27,0.6151,High,0.2791
126,56.0,Male,51095.94,1360.23,5,96.24,198.0,24,4.58,14.55,17.25,2,0,West,56.68,272.05,0.4916,Premium,0.1887
127,58.0,Male,102862.64,707.69,6,63.38,97.0,35,7.99,5.42,20.3,5,0,East,20.22,117.95,0.5737,Premium,0.2176
128,54.33466956689529,Male,73563.25809287633,54.59,6,206.75375,357.0,35,4.51,7.19,6.35,4,1,North,1.56,9.1,0.5083,Low,0.17
129,24.0,Female,45426.5,178.71968268615663,7,206.75375,297.0,34,7.49,18.98,10.26,3,1,North,5.26,25.53,0.7029,Medium,0.1754
130,26.0,Female,35584.24,250.58,8,63.47,18.0,24,5.72,4.56,21.35,3,0,North,10.44,31.32,0.4086,Medium,0.3338
131,25.0,Male,50131.71,93.23,7,97.39,172.0,25,6.91,12.02,20.91,5,1,West,3.73,13.32,0.5296,Low,0.1938
132,29.0,Male,63999.9,341.51,9,73.2,309.0,28,3.93,11.81,29.22,3,1,South,12.2,37.95,0.4817,Medium,0.1742
133,51.0,Male,35386.88,318.73,9,100.58,191.0,36,6.87,27.029976776044148,17.13,2,1,Central,8.85,35.41,0.7952,Medium,0.19
134,42.61063811092335,Female,40861.64,1492.21,9,91.23,266.0,23,4.35,9.17,9.25,5,1,South,64.88,165.8,0.4172,Premium,0.1789
135,65.0,Male,79460.9,284.34,11,114.8,126.0,31,5.91,25.85,24.08,3,1,West,9.17,25.85,0.7132,Medium,0.2061
136,40.0,Female,96631.72,770.02,14,95.76,118.85565206280864,17,5.45,15.107962841670641,7.91,5,0,Central,45.3,55.0,0.4555,Premium,0.2086
137,41.0,Female,62740.22,1422.89,7,87.82,347.0,23,7.65,12.21,12.48,5,0,North,61.86,203.27,0.5316,Premium,0.1708
138,54.0,Female,45753.27,1047.74,5,111.99,214.85258016854073,27,7.0,10.74,7.64,3,0,Central,38.81,209.55,0.5358,Premium,0.1859
139,52.0,Male,43627.87,117.02,9,60.97,167.9465589181541,26,2.32,19.57,3.95,5,1,East,4.5,13.0,0.5103,Low,0.1947
140,61.0,Female,64476.96,342.62,11,206.75375,250.0,26,4.04,16.63,21.44,5,0,North,13.18,31.15,0.5197,Medium,0.1809
141,42.60293593069135,Male,54933.77,213.66,7,206.75375,311.0,28,4.36,21.14,17.77,3,0,South,7.63,30.52,0.5958,Medium,0.174
142,39.0,Male,21493.63,255.3,5,94.72680086801388,281.0,30,6.75,4.41,6.23,3,1,West,8.51,51.06,0.4867,Medium,0.1771
143,44.0,Female,65263.79,223.77,14,120.17,199.40194714048826,24,4.61,14.34,15.78,2,1,East,9.32,15.98,0.4901,Medium,0.1885
144,52.0,Female,31879.39,875.38,14,126.16,151.0,27,3.54,21.08,15.79,5,1,East,32.42,62.53,0.566,Premium,0.1988
145,18.0,Male,24137.74,300.87,9,129.98,171.0,28,3.04,7.06,6.58,5,1,Central,10.75,33.43,0.4072,Medium,0.1941
146,52.0,Male,21286.48,370.85,12,113.91,153.0,24,6.81,10.836409359776656,20.59,4,0,Central,15.45,30.9,0.505,Medium,0.1983
147,35.694364895533134,Male,44000.13,1492.21,10,64.72,326.0,23,1.77,7.32,23.91,5,1,East,64.88,149.22,0.3336,Premium,0.1726
148,64.0,Male,29487.97,30.93,12,117.81,331.0,31,7.4,6.72,15.34,3,1,Central,1.0,2.58,0.5373,Low,0.1722
149,42.69613272553957,Male,15318.54,334.67,8,139.91,184.0,23,3.18,2.69,14.98,2,0,West,14.55,41.83,0.3167,Medium,0.1914
150,20.0,Male,40977.25,431.4617061588765,10,110.49,235.0,23,5.12572852709544,13.06,7.21,5,0,South,18.76,43.15,0.4794,High,0.1829
151,18.0,Male,38357.85,81.94,8,129.55,291.0,19,3.4,3.15,4.92,5,1,East,4.31,10.24,0.2908,Low,0.1761
152,22.0,Female,45480.98,472.77,11,103.15,16.0,26,3.85,8.748000972136728,13.64,3,1,West,18.18,42.98,0.4276,High,0.346
153,43.0,Female,35794.55,136.87,9,198.19,207.0,26,4.443138539165622,10.44,22.17,3,1,Central,5.26,15.21,0.4609,Low,0.1872
154,31.0,Female,116365.93947407472,1010.22,8,73.86,273.0,16,5.25,14.96,20.27,5,0,West,63.14,126.28,0.4399,Premium,0.178
155,56.0,Male,63491.97,198.08,14,76.67635687953077,95.0,16,2.72,12.61,27.26,4,1,East,12.38,14.15,0.3519,Medium,0.2186
156,44.0,Female,38184.82,199.54,10,162.31,321.0,19,4.77,4.22,6.77,3,1,East,10.5,19.95,0.3362,Medium,0.1731
157,26.0,Female,47485.83,455.89,7,111.8,112.0,29,5.69,25.77,24.31,4,0,East,15.72,65.13,0.6888,High,0.2111
158,32.0,Female,99441.15,101.4,9,201.57,137.0,20,6.34,5.71,19.55,4,1,West,5.07,11.27,0.4002,Low,0.2027
159,32.0,Female,79087.6,167.66,8,46.92,294.0,16,1.82,7.741939203274433,26.11,4,1,South,10.48,20.96,0.2759,Medium,0.1757
160,43.0,Female,24389.16,269.47,10,121.35,174.0,19,4.64,19.27,9.14,4,1,Central,14.18,26.95,0.5,Medium,0.1934
161,59.0,Female,30117.29,218.2,10,77.48471792510783,137.0,32,1.8,9.81,10.5,4,1,East,6.82,21.82,0.4438,Medium,0.2027
162,30.0,Male,33159.24,372.09,10,69.16,310.0,21,4.59,5.05,3.31,5,1,East,17.72,37.21,0.3592,Medium,0.1741
163,68.0,Female,39346.02,457.7,6,62.12,219.0,30,6.1646191350323125,4.95,24.26,4,1,Central,15.26,76.28,0.4784,High,0.1852
164,49.0,Female,36398.7,418.12,12,66.77705011009897,151.0,29,6.446288611748434,8.8,21.09,4,1,West,14.42,34.84,0.5189,High,0.1988
165,56.0,Female,49861.51,530.9,6,108.58,125.0,22,7.25,1.57,19.5,3,1,South,24.13,88.48,0.3947,High,0.2064
166,66.0,Female,40137.952360358955,183.9,4,206.75375,245.0,26,3.66,5.24,8.01,4,1,North,7.07,45.98,0.384,Medium,0.1815
167,42.48322895416022,Male,76982.25,67.58,14,59.65,39.0,22,4.5213098175894455,14.8,14.49,4,0,Central,3.07,4.83,0.4748,Low,0.2693
168,49.0,Male,41631.04,715.24,13,98.09,190.0,27,4.713500204830979,19.74,26.74,3,1,South,26.49,55.02,0.5798,Premium,0.1902
169,21.0,Female,21647.67,951.17,9,67.08,161.0,26,4.16,11.848427584143533,12.34,5,1,East,36.58,105.69,0.4696,Premium,0.1963
170,47.0,Female,29137.9,148.53,10,198.14,123.0,35,5.377120213253019,16.01275091852221,9.62,4,1,East,4.24,14.85,0.6274,Low,0.2071
171,54.0,Female,37801.82,261.36,4,64.13796450375368,176.0,26,5.74,6.92,10.54,3,0,Central,10.05,65.34,0.4535,Medium,0.193
172,40.0,Male,26304.17,345.14,8,99.05,318.0,25,5.01,4.82,4.16,5,0,Central,13.81,43.14,0.4033,Medium,0.1734
173,56.0,Male,75531.20571546287,381.06,4,163.76,360.0,26,5.76,2.65,8.15,3,1,East,14.66,95.26,0.4066,High,0.1697
174,62.0,Female,27179.8,538.66,6,119.25,264.0,29,2.66,18.32,6.56,5,1,Central,18.57,89.78,0.532,High,0.1791
175,32.0,Female,66738.12,21.25,11,27.34,174.0,20,5.75,1.81,14.85,5,1,South,1.06,1.93,0.3425,Low,0.1934
176,60.0,Female,21142.91,463.67004590524243,5,54.26,220.0,24,3.98,25.8,23.4,4,1,North,19.32,92.73,0.6018,High,0.1851
177,46.0,Male,68091.02,31.99,11,121.3,172.0,26,5.55,12.21,22.08,4,1,North,1.23,2.91,0.5076,Low,0.1938
178,53.0,Female,63910.179381642716,315.83,7,70.44569617367253,232.0,23,4.77,9.54,19.03,2,0,East,13.73,45.12,0.4316,Medium,0.1833
179,30.0,Male,104429.28,879.18,12,53.31698278451595,136.0,32,6.02,8.09143251301806,13.78,4,1,North,27.47,73.26,0.5279,Premium,0.203
180,35.77018451344371,Female,27839.71,300.02,5,60.99,232.0,23,7.65,8.174975141537304,10.09,5,0,North,13.04,60.0,0.4869,Medium,0.1833
181,24.0,Male,36972.98,80.72,3,150.7,238.0,37,5.73,25.9,20.45,4,1,East,2.18,26.91,0.7639,Low,0.1825
182,40.44122326455636,Male,40732.59,1492.21,8,69.55464355112495,138.0,32,7.3,23.8,21.66,5,0,West,46.63,186.53,0.7335,Premium,0.2024
183,39.0,Female,45421.91,1100.4,9,102.68,84.0,28,3.66,21.51,23.76,4,1,Central,39.3,122.27,0.5828,Premium,0.2245
184,45.0,Female,41233.63,737.7,6,119.95,23.0,25,8.08,4.64,16.42,5,1,East,29.51,122.95,0.4763,Premium,0.3107
185,19.0,Male,41633.51,265.1,5,86.46,256.0,28,3.68,4.2,6.29,3,0,North,9.47,53.02,0.3911,Medium,0.1801
186,59.0,Female,41293.84,101.58,5,104.38,226.0,20,3.24,3.1,4.97,1,1,West,5.08,20.32,0.2954,Low,0.1842
187,62.0,Male,38500.38846796379,1418.61,9,93.71,316.0,26,5.01,10.78,8.68,5,0,Central,54.56,157.62,0.4785,Premium,0.1735
188,70.0,Male,80552.73,380.02,7,187.2,340.0,27,4.7,9.1,7.56,3,1,Central,14.07,54.29,0.4614,High,0.1714
189,23.0,Male,116365.93947407472,956.47,6,120.24,238.0,23,2.65,21.5,23.47,5,0,South,41.59,159.41,0.5125,Premium,0.1825
190,45.0,Male,56904.83,209.35,9,37.95,276.0,17,3.47,12.22,12.68,2,1,Central,12.31,23.26,0.375,Medium,0.1777
